Mã,Tên công ty,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Financial_State_Rule,Pass_Ratio,Company_Label
DCL,Dược phẩm Cửu Long,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2022,Stable,0.5,DCL - Dược phẩm Cửu Long
DCL,Dược phẩm Cửu Long,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2023,At_Risk,0.25,DCL - Dược phẩm Cửu Long
DCL,Dược phẩm Cửu Long,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2024,At_Risk,0.25,DCL - Dược phẩm Cửu Long
DCM,Đạm Cà Mau,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020,Stable,0.5,DCM - Đạm Cà Mau
DCM,Đạm Cà Mau,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2021,At_Risk,0.25,DCM - Đạm Cà Mau
DCM,Đạm Cà Mau,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2022,Healthy,0.75,DCM - Đạm Cà Mau
DCM,Đạm Cà Mau,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2023,Stable,0.5,DCM - Đạm Cà Mau
DCM,Đạm Cà Mau,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2024,Stable,0.5,DCM - Đạm Cà Mau
DGC,Hóa chất Đức Giang,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020,Stable,0.5,DGC - Hóa chất Đức Giang
DGC,Hóa chất Đức Giang,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2021,At_Risk,0.25,DGC - Hóa chất Đức Giang
DGC,Hóa chất Đức Giang,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2022,Healthy,0.75,DGC - Hóa chất Đức Giang
DGC,Hóa chất Đức Giang,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2023,Stable,0.5,DGC - Hóa chất Đức Giang
DGC,Hóa chất Đức Giang,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2024,Healthy,0.75,DGC - Hóa chất Đức Giang
DGW,Thế Giới Số,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2020,Stable,0.5,DGW - Thế Giới Số
DGW,Thế Giới Số,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2021,Healthy,0.75,DGW - Thế Giới Số
DGW,Thế Giới Số,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2022,Stable,0.5,DGW - Thế Giới Số
DGW,Thế Giới Số,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2023,At_Risk,0.25,DGW - Thế Giới Số
DGW,Thế Giới Số,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2024,At_Risk,0.25,DGW - Thế Giới Số
DHA,Hóa An,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2020,Healthy,0.75,DHA - Hóa An
DHA,Hóa An,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2021,Healthy,0.75,DHA - Hóa An
DHA,Hóa An,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2022,Healthy,0.75,DHA - Hóa An
DHA,Hóa An,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2023,Healthy,0.75,DHA - Hóa An
DHA,Hóa An,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2024,Healthy,0.75,DHA - Hóa An
DHC,Đông Hải Bến Tre,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy,2020,Healthy,0.75,DHC - Đông Hải Bến Tre
DHC,Đông Hải Bến Tre,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy,2021,Stable,0.5,DHC - Đông Hải Bến Tre
DHC,Đông Hải Bến Tre,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy,2022,At_Risk,0.25,DHC - Đông Hải Bến Tre
DHC,Đông Hải Bến Tre,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy,2023,At_Risk,0.25,DHC - Đông Hải Bến Tre
DHC,Đông Hải Bến Tre,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy,2024,Stable,0.5,DHC - Đông Hải Bến Tre
DHG,Dược Hậu Giang,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2020,Healthy,1.0,DHG - Dược Hậu Giang
DHG,Dược Hậu Giang,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2021,Healthy,1.0,DHG - Dược Hậu Giang
DHG,Dược Hậu Giang,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2022,Healthy,1.0,DHG - Dược Hậu Giang
DHG,Dược Hậu Giang,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2023,Healthy,0.75,DHG - Dược Hậu Giang
DHG,Dược Hậu Giang,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2024,Healthy,0.75,DHG - Dược Hậu Giang
DHM,Khoáng sản Dương Hiếu,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2020,Stable,0.5,DHM - Khoáng sản Dương Hiếu
DHM,Khoáng sản Dương Hiếu,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2021,Stable,0.5,DHM - Khoáng sản Dương Hiếu
DHM,Khoáng sản Dương Hiếu,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2022,At_Risk,0.25,DHM - Khoáng sản Dương Hiếu
DHM,Khoáng sản Dương Hiếu,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2023,At_Risk,0.25,DHM - Khoáng sản Dương Hiếu
DHM,Khoáng sản Dương Hiếu,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2024,At_Risk,0.25,DHM - Khoáng sản Dương Hiếu
DLG,Đức Long Gia Lai,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2020,High_Risk,0.0,DLG - Đức Long Gia Lai
DLG,Đức Long Gia Lai,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2021,At_Risk,0.25,DLG - Đức Long Gia Lai
DLG,Đức Long Gia Lai,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2022,At_Risk,0.25,DLG - Đức Long Gia Lai
DLG,Đức Long Gia Lai,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2023,High_Risk,0.0,DLG - Đức Long Gia Lai
DLG,Đức Long Gia Lai,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2024,At_Risk,0.25,DLG - Đức Long Gia Lai
DMC,Dược phẩm DOMESCO,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2020,Healthy,1.0,DMC - Dược phẩm DOMESCO
DMC,Dược phẩm DOMESCO,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2021,Healthy,1.0,DMC - Dược phẩm DOMESCO
DMC,Dược phẩm DOMESCO,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2022,Healthy,1.0,DMC - Dược phẩm DOMESCO
DMC,Dược phẩm DOMESCO,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2023,Healthy,1.0,DMC - Dược phẩm DOMESCO
DMC,Dược phẩm DOMESCO,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2024,Healthy,1.0,DMC - Dược phẩm DOMESCO
DPG,Tập đoàn Đạt Phương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2020,High_Risk,0.0,DPG - Tập đoàn Đạt Phương
DPG,Tập đoàn Đạt Phương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2021,At_Risk,0.25,DPG - Tập đoàn Đạt Phương
DPG,Tập đoàn Đạt Phương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2022,At_Risk,0.25,DPG - Tập đoàn Đạt Phương
DPG,Tập đoàn Đạt Phương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2023,High_Risk,0.0,DPG - Tập đoàn Đạt Phương
DPG,Tập đoàn Đạt Phương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2024,At_Risk,0.25,DPG - Tập đoàn Đạt Phương
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020,Healthy,0.75,DPM - Tổng Công ty Phân bón và Hóa chất Dầu khí
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2021,Stable,0.5,DPM - Tổng Công ty Phân bón và Hóa chất Dầu khí
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2022,Healthy,0.75,DPM - Tổng Công ty Phân bón và Hóa chất Dầu khí
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2023,Stable,0.5,DPM - Tổng Công ty Phân bón và Hóa chất Dầu khí
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2024,At_Risk,0.25,DPM - Tổng Công ty Phân bón và Hóa chất Dầu khí
DPR,Cao su Đồng Phú,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2020,Stable,0.5,DPR - Cao su Đồng Phú
DPR,Cao su Đồng Phú,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2021,Stable,0.5,DPR - Cao su Đồng Phú
DPR,Cao su Đồng Phú,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2022,Stable,0.5,DPR - Cao su Đồng Phú
DPR,Cao su Đồng Phú,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2023,Stable,0.5,DPR - Cao su Đồng Phú
DPR,Cao su Đồng Phú,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2024,Healthy,0.75,DPR - Cao su Đồng Phú
DQC,Tập đoàn Điện Quang,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2020,At_Risk,0.25,DQC - Tập đoàn Điện Quang
DQC,Tập đoàn Điện Quang,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2021,At_Risk,0.25,DQC - Tập đoàn Điện Quang
DQC,Tập đoàn Điện Quang,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2022,At_Risk,0.25,DQC - Tập đoàn Điện Quang
DQC,Tập đoàn Điện Quang,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2023,At_Risk,0.25,DQC - Tập đoàn Điện Quang
DQC,Tập đoàn Điện Quang,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2024,At_Risk,0.25,DQC - Tập đoàn Điện Quang
DRC,Cao su Đà Nẵng,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe,2020,Healthy,0.75,DRC - Cao su Đà Nẵng
DRC,Cao su Đà Nẵng,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe,2021,Healthy,0.75,DRC - Cao su Đà Nẵng
DRC,Cao su Đà Nẵng,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe,2022,Healthy,0.75,DRC - Cao su Đà Nẵng
DRC,Cao su Đà Nẵng,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe,2023,Healthy,0.75,DRC - Cao su Đà Nẵng
DRC,Cao su Đà Nẵng,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe,2024,Stable,0.5,DRC - Cao su Đà Nẵng
DRL,Thủy điện - Điện lực 3,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2020,Healthy,0.75,DRL - Thủy điện - Điện lực 3
DRL,Thủy điện - Điện lực 3,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2021,Healthy,0.75,DRL - Thủy điện - Điện lực 3
DRL,Thủy điện - Điện lực 3,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2022,Healthy,0.75,DRL - Thủy điện - Điện lực 3
DRL,Thủy điện - Điện lực 3,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2023,Healthy,0.75,DRL - Thủy điện - Điện lực 3
DRL,Thủy điện - Điện lực 3,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2024,Healthy,0.75,DRL - Thủy điện - Điện lực 3
DSN,Công viên nước Đầm Sen,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,2020,Healthy,0.75,DSN - Công viên nước Đầm Sen
DSN,Công viên nước Đầm Sen,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,2021,Healthy,0.75,DSN - Công viên nước Đầm Sen
DSN,Công viên nước Đầm Sen,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,2022,Healthy,0.75,DSN - Công viên nước Đầm Sen
DSN,Công viên nước Đầm Sen,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,2023,Healthy,0.75,DSN - Công viên nước Đầm Sen
DSN,Công viên nước Đầm Sen,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,2024,Stable,0.5,DSN - Công viên nước Đầm Sen
DTL,Đại Thiên Lộc,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2020,High_Risk,0.0,DTL - Đại Thiên Lộc
DTL,Đại Thiên Lộc,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2021,High_Risk,0.0,DTL - Đại Thiên Lộc
DTL,Đại Thiên Lộc,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2022,At_Risk,0.25,DTL - Đại Thiên Lộc
DTL,Đại Thiên Lộc,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2023,High_Risk,0.0,DTL - Đại Thiên Lộc
DTL,Đại Thiên Lộc,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2024,High_Risk,0.0,DTL - Đại Thiên Lộc
DTT,Kỹ nghệ Đô Thành,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2020,Stable,0.5,DTT - Kỹ nghệ Đô Thành
DTT,Kỹ nghệ Đô Thành,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2021,High_Risk,0.0,DTT - Kỹ nghệ Đô Thành
DTT,Kỹ nghệ Đô Thành,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2022,At_Risk,0.25,DTT - Kỹ nghệ Đô Thành
DTT,Kỹ nghệ Đô Thành,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2023,At_Risk,0.25,DTT - Kỹ nghệ Đô Thành
DTT,Kỹ nghệ Đô Thành,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2024,Stable,0.5,DTT - Kỹ nghệ Đô Thành
DVP,ĐT và PT Cảng Đình Vũ,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2020,Healthy,0.75,DVP - ĐT và PT Cảng Đình Vũ
DVP,ĐT và PT Cảng Đình Vũ,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2021,Healthy,0.75,DVP - ĐT và PT Cảng Đình Vũ
DVP,ĐT và PT Cảng Đình Vũ,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2022,Healthy,0.75,DVP - ĐT và PT Cảng Đình Vũ
DVP,ĐT và PT Cảng Đình Vũ,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2023,Stable,0.5,DVP - ĐT và PT Cảng Đình Vũ
DVP,ĐT và PT Cảng Đình Vũ,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2024,Healthy,0.75,DVP - ĐT và PT Cảng Đình Vũ
DXV,Vật liệu Xây dựng Đà Nẵng,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2020,Healthy,0.75,DXV - Vật liệu Xây dựng Đà Nẵng
DXV,Vật liệu Xây dựng Đà Nẵng,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2021,Healthy,0.75,DXV - Vật liệu Xây dựng Đà Nẵng
DXV,Vật liệu Xây dựng Đà Nẵng,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2022,Healthy,0.75,DXV - Vật liệu Xây dựng Đà Nẵng
DXV,Vật liệu Xây dựng Đà Nẵng,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2023,Stable,0.5,DXV - Vật liệu Xây dựng Đà Nẵng
DXV,Vật liệu Xây dựng Đà Nẵng,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2024,Healthy,0.75,DXV - Vật liệu Xây dựng Đà Nẵng
ELC,ELCOM,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông,2020,,,ELC - ELCOM
ELC,ELCOM,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông,2021,,,ELC - ELCOM
ELC,ELCOM,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông,2022,,,ELC - ELCOM
ELC,ELCOM,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông,2023,,,ELC - ELCOM
ELC,ELCOM,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông,2024,,,ELC - ELCOM
EVE,Everpia,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2020,Stable,0.5,EVE - Everpia
EVE,Everpia,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2021,Stable,0.5,EVE - Everpia
EVE,Everpia,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2022,Healthy,0.75,EVE - Everpia
EVE,Everpia,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2023,Stable,0.5,EVE - Everpia
EVE,Everpia,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2024,Stable,0.5,EVE - Everpia
EVG,Tập đoàn Everland,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2020,At_Risk,0.25,EVG - Tập đoàn Everland
EVG,Tập đoàn Everland,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2021,Stable,0.5,EVG - Tập đoàn Everland
EVG,Tập đoàn Everland,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2022,Stable,0.5,EVG - Tập đoàn Everland
EVG,Tập đoàn Everland,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2023,At_Risk,0.25,EVG - Tập đoàn Everland
EVG,Tập đoàn Everland,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2024,Stable,0.5,EVG - Tập đoàn Everland
FCM,Khoáng sản FECON,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2020,Stable,0.5,FCM - Khoáng sản FECON
FCM,Khoáng sản FECON,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2021,At_Risk,0.25,FCM - Khoáng sản FECON
FCM,Khoáng sản FECON,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2022,At_Risk,0.25,FCM - Khoáng sản FECON
FCM,Khoáng sản FECON,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2023,High_Risk,0.0,FCM - Khoáng sản FECON
FCM,Khoáng sản FECON,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2024,Stable,0.5,FCM - Khoáng sản FECON
FCN,FECON CORP,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2020,High_Risk,0.0,FCN - FECON CORP
FCN,FECON CORP,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2021,High_Risk,0.0,FCN - FECON CORP
FCN,FECON CORP,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2022,At_Risk,0.25,FCN - FECON CORP
FCN,FECON CORP,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2023,High_Risk,0.0,FCN - FECON CORP
FCN,FECON CORP,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2024,High_Risk,0.0,FCN - FECON CORP
FIT,Tập đoàn F.I.T,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2023,Stable,0.5,FIT - Tập đoàn F.I.T
FIT,Tập đoàn F.I.T,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2024,Stable,0.5,FIT - Tập đoàn F.I.T
FMC,Thực phẩm Sao Ta,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,Healthy,0.75,FMC - Thực phẩm Sao Ta
FMC,Thực phẩm Sao Ta,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,Healthy,1.0,FMC - Thực phẩm Sao Ta
FMC,Thực phẩm Sao Ta,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,Healthy,0.75,FMC - Thực phẩm Sao Ta
FMC,Thực phẩm Sao Ta,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,Healthy,0.75,FMC - Thực phẩm Sao Ta
FMC,Thực phẩm Sao Ta,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,Healthy,0.75,FMC - Thực phẩm Sao Ta
FPT,FPT Corp,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm,2020,,,FPT - FPT Corp
FPT,FPT Corp,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm,2021,,,FPT - FPT Corp
FPT,FPT Corp,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm,2022,,,FPT - FPT Corp
FPT,FPT Corp,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm,2023,,,FPT - FPT Corp
FPT,FPT Corp,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm,2024,,,FPT - FPT Corp
FRT,Bán lẻ FPT,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2020,At_Risk,0.25,FRT - Bán lẻ FPT
FRT,Bán lẻ FPT,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2021,Healthy,0.75,FRT - Bán lẻ FPT
FRT,Bán lẻ FPT,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2022,At_Risk,0.25,FRT - Bán lẻ FPT
FRT,Bán lẻ FPT,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2023,At_Risk,0.25,FRT - Bán lẻ FPT
FRT,Bán lẻ FPT,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2024,At_Risk,0.25,FRT - Bán lẻ FPT
GAS,PV Gas,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2020,Healthy,0.75,GAS - PV Gas
GAS,PV Gas,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2021,Healthy,1.0,GAS - PV Gas
GAS,PV Gas,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2022,Healthy,1.0,GAS - PV Gas
