Symbol,Company Name,Industry,Start Year,End Year,Overall State,Trend
DHG,Dược Hậu Giang,Dược phẩm và Y tế,2020,2024,Healthy,Stable
DHM,Khoáng sản Dương Hiếu,Nguyên vật liệu,2020,2024,At Risk,Deteriorating
DLG,Đức Long Gia Lai,Nguyên vật liệu,2020,2024,High Risk,Improving
DMC,Dược phẩm DOMESCO,Dược phẩm và Y tế,2020,2024,Healthy,Stable
DPG,Tập đoàn Đạt Phương,Công nghiệp,2020,2024,High Risk,Improving
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,Nguyên vật liệu,2020,2024,Stable,Deteriorating
DPR,Cao su Đồng Phú,Nguyên vật liệu,2020,2024,Stable,Improving
DQC,Tập đoàn Điện Quang,Hàng Tiêu dùng,2020,2024,At Risk,Stable
DRC,Cao su Đà Nẵng,Hàng Tiêu dùng,2020,2024,Stable,Deteriorating
DRL,Thủy điện - Điện lực 3,Tiện ích Cộng đồng,2020,2024,Healthy,Stable
DSN,Công viên nước Đầm Sen,Dịch vụ Tiêu dùng,2020,2024,Stable,Deteriorating
DTL,Đại Thiên Lộc,Nguyên vật liệu,2020,2024,High Risk,Stable
DTT,Kỹ nghệ Đô Thành,Nguyên vật liệu,2020,2024,At Risk,Stable
DVP,ĐT và PT Cảng Đình Vũ,Công nghiệp,2020,2024,Stable,Stable
DXV,Vật liệu Xây dựng Đà Nẵng,Công nghiệp,2020,2024,Stable,Stable
ELC,ELCOM,Công nghệ Thông tin,2020,2024,Stable,Improving
EVE,Everpia,Hàng Tiêu dùng,2020,2024,Stable,Stable
EVG,Tập đoàn Everland,Công nghiệp,2020,2024,At Risk,Improving
FCM,Khoáng sản FECON,Công nghiệp,2020,2024,At Risk,Stable
FCN,FECON CORP,Công nghiệp,2020,2024,High Risk,Stable
FIT,Tập đoàn F.I.T,Dược phẩm và Y tế,2023,2024,Stable,Stable
FMC,Thực phẩm Sao Ta,Hàng Tiêu dùng,2020,2024,Healthy,Stable
FPT,FPT Corp,Công nghệ Thông tin,2020,2024,At Risk,Improving
FRT,Bán lẻ FPT,Dịch vụ Tiêu dùng,2020,2024,At Risk,Stable
GAS,PV Gas,Tiện ích Cộng đồng,2020,2024,Healthy,Stable
GDT,Gỗ Đức Thành,Hàng Tiêu dùng,2020,2024,Stable,Deteriorating
GEE,Thiết bị điện GELEX,Công nghiệp,2023,2024,Stable,Improving
GEG,Điện Gia Lai,Tiện ích Cộng đồng,2020,2024,High Risk,Deteriorating
GEX,Tập đoàn Gelex,Công nghiệp,2020,2024,High Risk,Improving
GIL,XNK Bình Thạnh,Hàng Tiêu dùng,2020,2024,Stable,Deteriorating
GMC,Garmex Sài Gòn,Hàng Tiêu dùng,2020,2022,Stable,Improving
GMD,Gemadept,Công nghiệp,2020,2024,At Risk,Improving
GMH,Minh Hưng Quảng Trị,Công nghiệp,2020,2024,Stable,Stable
GSP,Vận tải Sản phẩm Khí Quốc tế,Công nghiệp,2020,2024,Stable,Stable
GTA,Gỗ Thuận An,Nguyên vật liệu,2020,2024,High Risk,Improving
GVR,Tập đoàn CN Cao su VN,Nguyên vật liệu,2020,2024,At Risk,Stable
HAG,Hoàng Anh Gia Lai,Hàng Tiêu dùng,2020,2024,High Risk,Stable
HAH,Vận tải và Xếp dỡ Hải An,Công nghiệp,2020,2024,At Risk,Stable
HAP,Tập đoàn Hapaco,Nguyên vật liệu,2020,2024,At Risk,Stable
HAS,Hacisco,Công nghiệp,2020,2024,At Risk,Stable
HAX,Ô tô Hàng Xanh,Hàng Tiêu dùng,2020,2024,Stable,Stable
HBC,Tập đoàn Xây dựng Hòa Bình,Công nghiệp,2020,2022,High Risk,Improving
HCD,SX và Thương mại HCD,Nguyên vật liệu,2020,2024,At Risk,Stable
HHP,Giấy Hoàng Hà Hải Phòng,Nguyên vật liệu,2020,2022,High Risk,Improving
HHP,HHP Global,Nguyên vật liệu,2023,2024,High Risk,Stable
HHS,Đầu tư DV Hoàng Huy,Hàng Tiêu dùng,2020,2024,Stable,Stable
HHV,Đầu tư Hạ tầng Giao thông Đèo Cả,Công nghiệp,2020,2024,High Risk,Stable
HID,Halcom Vietnam,Công nghiệp,2020,2024,At Risk,Stable
HII,An Tiến Industries,Nguyên vật liệu,2020,2024,At Risk,Improving
HMC,Kim khí TP.HCM,Nguyên vật liệu,2020,2024,At Risk,Deteriorating
HNA,Thủy điện Hủa Na,Tiện ích Cộng đồng,2023,2024,Stable,Stable
HNG,Nông nghiệp Quốc tế HAGL,Hàng Tiêu dùng,2020,2022,High Risk,Stable
HPG,Hòa Phát,Nguyên vật liệu,2020,2024,At Risk,Improving
HRC,Cao su Hòa Bình,Nguyên vật liệu,2020,2024,High Risk,Improving
HSG,Tập đoàn Hoa Sen,Nguyên vật liệu,2020,2024,At Risk,Stable
HSL,Thực phẩm Hồng Hà,Hàng Tiêu dùng,2020,2024,Stable,Stable
HT1,VICEM Hà Tiên,Công nghiệp,2020,2024,At Risk,Stable
HTG,Dệt may Hòa Thọ,Hàng Tiêu dùng,2023,2024,Stable,Stable
