Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Current_Ratio,Quick_Ratio,Cash_Ratio,Debt_Equity,Net_Leverage,Asset_Turnover,Fixed_Asset_Turnover,ROA,ROE,ROS,ln_Total_Assets,ln_Revenue,Efficiency,Leverage,Liquidity,Profitability
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2020,1.1916903320004182,0.8989228130796246,0.2554358082089696,1.1295960112163337,10.740487959139356,0.8668686875799686,3.19504171385597,0.0330445929477976,0.0703716333338972,0.0381194907847554,9.056071365254509,8.913221514809765,Asset_Turnover,Debt_Equity,Quick_Ratio,ROA
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2021,1.6313396712892916,1.2856059786216514,0.6057175953029053,0.8351349644817211,6.19014369664566,1.3130600819485103,6.2561224518177525,0.0323834519083205,0.0594280048675714,0.0246625819743642,9.211392481843545,9.483729018172816,Asset_Turnover,Net_Leverage,Current_Ratio,ROA
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2022,1.7647871236772965,1.1428483416994424,0.5123926304660773,0.7493936661113503,16.044521030800457,1.416314750689733,7.360196542818026,0.0108644947911882,0.0190062783732045,0.0076709606998708,9.28700809988834,9.635039126789282,Fixed_Asset_Turnover,Net_Leverage,Current_Ratio,ROE
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2023,1.5203418863090534,1.262912620860512,0.6516006006720039,0.942269647013736,8.358599667063773,1.0896165686194863,6.270061054632739,0.0266927334337685,0.0518444859442373,0.0244973637539189,9.357418572614916,9.443237335346188,Fixed_Asset_Turnover,Net_Leverage,Current_Ratio,ROA
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2024,1.5997833802528498,1.2142405895147723,0.6008678870735189,1.2048959031030524,11.426706613123594,0.9297689625367416,4.208500420201275,0.0225581552396822,0.049738384069538,0.0242621082748724,9.528712906687833,9.455899249568922,Asset_Turnover,Debt_Equity,Current_Ratio,ROA
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,11.047840247335431,3.166353184593817,1.6937118915353626,0.086131882772385,1.0784527825879249,0.5734130795783495,4.21775804099094,-0.0567659032131462,-0.0616552573341695,-0.0989965266486216,5.355733376383121,4.803090469505357,Asset_Turnover,Debt_Equity,Current_Ratio,ROE
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,29.40704929009308,13.656069755046296,11.148733749342464,0.0347920546922232,-17.002517190349693,0.6669250953938682,5.111565669259336,0.0011214521160384,0.0011604697393943,0.0016815263419892,5.308700809945909,4.906091520695131,Asset_Turnover,Debt_Equity,Current_Ratio,ROE
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,22.79099818760998,9.539983327890546,1.2914950987522855,0.0431585027235201,-0.0629617502340677,0.9699344933742,8.118639010113029,0.0773162765465084,0.0806531312784133,0.0797128848130157,5.391714546024379,5.361328961037164,Asset_Turnover,Debt_Equity,Current_Ratio,ROE
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,18.992995409080105,4.562012583895329,2.5020624214639,0.0504429417232201,-3.92002995796584,0.6425118009448478,5.783978503976941,0.0033033906128336,0.0034700233530058,0.0051413695561324,5.36530908101192,4.925537302856055,Asset_Turnover,Debt_Equity,Current_Ratio,ROA
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,33.57511487091696,14.54366251395096,12.714251155427087,0.0306287677726272,12.94618353437948,0.7585547002761097,7.065191617447354,-0.0311973715420548,-0.0321529085901327,-0.0411273854485367,5.314862509660661,5.040086287122064,Asset_Turnover,Net_Leverage,Current_Ratio,ROA
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2020,1.872119206329639,1.6835345561855892,0.2139901886566432,0.3645988591272125,-123.0295872555174,0.4951143984371721,0.9651035413792514,0.0242099386809423,0.0330368547035537,0.0488976663925771,6.364516359345096,5.663303934568858,Asset_Turnover,Debt_Equity,Current_Ratio,ROE
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2021,2.966450159977703,2.644305308682853,0.8065258719747883,0.4603838074867183,19.95059378914104,0.484506432291902,1.0879381802912131,0.0295036759790057,0.0430866906610748,0.0608942916184662,6.885113288143359,6.161576445720757,Asset_Turnover,Debt_Equity,Current_Ratio,ROE
