Mã,Tên công ty,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Selected_Size_Indicator,Size_Label
DC4,Xây dựng DIC Holdings,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2024,ln_Revenue,Medium
DCL,Dược phẩm Cửu Long,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2020,ln_Total_Assets,Large
DCL,Dược phẩm Cửu Long,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2021,ln_Total_Assets,Large
DCL,Dược phẩm Cửu Long,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2022,ln_Total_Assets,Large
DCL,Dược phẩm Cửu Long,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2023,ln_Total_Assets,Large
DCL,Dược phẩm Cửu Long,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2024,ln_Total_Assets,Large
DCM,Đạm Cà Mau,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020,ln_Total_Assets,Large
DCM,Đạm Cà Mau,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2021,ln_Total_Assets,Large
DCM,Đạm Cà Mau,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2022,ln_Total_Assets,Large
DCM,Đạm Cà Mau,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2023,ln_Total_Assets,Large
DCM,Đạm Cà Mau,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2024,ln_Total_Assets,Large
DGC,Hóa chất Đức Giang,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020,ln_Total_Assets,Large
DGC,Hóa chất Đức Giang,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2021,ln_Total_Assets,Large
DGC,Hóa chất Đức Giang,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2022,ln_Total_Assets,Large
DGC,Hóa chất Đức Giang,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2023,ln_Total_Assets,Large
DGC,Hóa chất Đức Giang,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2024,ln_Total_Assets,Large
DGW,Thế Giới Số,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2020,ln_Total_Assets,Large
DGW,Thế Giới Số,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2021,ln_Total_Assets,Large
DGW,Thế Giới Số,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2022,ln_Total_Assets,Large
DGW,Thế Giới Số,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2023,ln_Total_Assets,Large
DGW,Thế Giới Số,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2024,ln_Total_Assets,Large
DHA,Hóa An,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2020,ln_Revenue,Small
DHA,Hóa An,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2021,ln_Revenue,Small
DHA,Hóa An,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2022,ln_Revenue,Small
DHA,Hóa An,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2023,ln_Revenue,Small
DHA,Hóa An,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2024,ln_Revenue,Small
DHC,Đông Hải Bến Tre,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy,2020,ln_Total_Assets,Medium
DHC,Đông Hải Bến Tre,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy,2021,ln_Total_Assets,Medium
DHC,Đông Hải Bến Tre,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy,2022,ln_Total_Assets,Medium
DHC,Đông Hải Bến Tre,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy,2023,ln_Total_Assets,Medium
DHC,Đông Hải Bến Tre,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy,2024,ln_Total_Assets,Medium
DHG,Dược Hậu Giang,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2020,ln_Total_Assets,Large
DHG,Dược Hậu Giang,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2021,ln_Total_Assets,Large
DHG,Dược Hậu Giang,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2022,ln_Total_Assets,Large
DHG,Dược Hậu Giang,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2023,ln_Total_Assets,Large
DHG,Dược Hậu Giang,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2024,ln_Total_Assets,Large
DHM,Khoáng sản Dương Hiếu,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2020,ln_Total_Assets,Small
DHM,Khoáng sản Dương Hiếu,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2021,ln_Total_Assets,Small
DHM,Khoáng sản Dương Hiếu,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2022,ln_Total_Assets,Small
DHM,Khoáng sản Dương Hiếu,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2023,ln_Total_Assets,Small
DHM,Khoáng sản Dương Hiếu,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,2024,ln_Total_Assets,Small
DLG,Đức Long Gia Lai,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2020,ln_Total_Assets,Large
DLG,Đức Long Gia Lai,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2021,ln_Total_Assets,Large
DLG,Đức Long Gia Lai,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2022,ln_Total_Assets,Large
DLG,Đức Long Gia Lai,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2023,ln_Total_Assets,Large
DLG,Đức Long Gia Lai,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2024,ln_Total_Assets,Large
DMC,Dược phẩm DOMESCO,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2020,ln_Total_Assets,Medium
DMC,Dược phẩm DOMESCO,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2021,ln_Total_Assets,Medium
DMC,Dược phẩm DOMESCO,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2022,ln_Total_Assets,Medium
DMC,Dược phẩm DOMESCO,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2023,ln_Total_Assets,Medium
DMC,Dược phẩm DOMESCO,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2024,ln_Total_Assets,Medium
DPG,Tập đoàn Đạt Phương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2020,ln_Revenue,Large
DPG,Tập đoàn Đạt Phương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2021,ln_Revenue,Large
DPG,Tập đoàn Đạt Phương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2022,ln_Revenue,Large
DPG,Tập đoàn Đạt Phương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2023,ln_Revenue,Large
DPG,Tập đoàn Đạt Phương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2024,ln_Revenue,Large
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020,ln_Total_Assets,Large
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2021,ln_Total_Assets,Large
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2022,ln_Total_Assets,Large
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2023,ln_Total_Assets,Large
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2024,ln_Total_Assets,Large
DPR,Cao su Đồng Phú,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2020,ln_Total_Assets,Large
DPR,Cao su Đồng Phú,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2021,ln_Total_Assets,Large
DPR,Cao su Đồng Phú,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2022,ln_Total_Assets,Large
DPR,Cao su Đồng Phú,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2023,ln_Total_Assets,Large
DPR,Cao su Đồng Phú,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2024,ln_Total_Assets,Large
DQC,Tập đoàn Điện Quang,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2020,ln_Total_Assets,Medium
DQC,Tập đoàn Điện Quang,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2021,ln_Total_Assets,Medium
DQC,Tập đoàn Điện Quang,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2022,ln_Total_Assets,Small
DQC,Tập đoàn Điện Quang,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2023,ln_Total_Assets,Small
DQC,Tập đoàn Điện Quang,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2024,ln_Total_Assets,Small
DRC,Cao su Đà Nẵng,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe,2020,ln_Total_Assets,Medium
DRC,Cao su Đà Nẵng,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe,2021,ln_Total_Assets,Medium
DRC,Cao su Đà Nẵng,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe,2022,ln_Total_Assets,Medium
DRC,Cao su Đà Nẵng,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe,2023,ln_Total_Assets,Medium
DRC,Cao su Đà Nẵng,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe,2024,ln_Total_Assets,Large
DRL,Thủy điện - Điện lực 3,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2020,ln_Total_Assets,Small
DRL,Thủy điện - Điện lực 3,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2021,ln_Total_Assets,Small
DRL,Thủy điện - Điện lực 3,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2022,ln_Total_Assets,Small
DRL,Thủy điện - Điện lực 3,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2023,ln_Total_Assets,Small
DRL,Thủy điện - Điện lực 3,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2024,ln_Total_Assets,Small
DSN,Công viên nước Đầm Sen,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,2020,ln_Total_Assets,Small
DSN,Công viên nước Đầm Sen,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,2021,ln_Total_Assets,Small
DSN,Công viên nước Đầm Sen,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,2022,ln_Total_Assets,Small
DSN,Công viên nước Đầm Sen,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,2023,ln_Total_Assets,Small
DSN,Công viên nước Đầm Sen,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,2024,ln_Total_Assets,Small
DTL,Đại Thiên Lộc,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2020,ln_Total_Assets,Medium
DTL,Đại Thiên Lộc,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2021,ln_Total_Assets,Medium
DTL,Đại Thiên Lộc,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2022,ln_Total_Assets,Medium
DTL,Đại Thiên Lộc,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2023,ln_Total_Assets,Medium
DTL,Đại Thiên Lộc,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,2024,ln_Total_Assets,Medium
DTT,Kỹ nghệ Đô Thành,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2020,ln_Total_Assets,Small
DTT,Kỹ nghệ Đô Thành,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2021,ln_Total_Assets,Small
DTT,Kỹ nghệ Đô Thành,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2022,ln_Total_Assets,Small
DTT,Kỹ nghệ Đô Thành,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2023,ln_Total_Assets,Small
DTT,Kỹ nghệ Đô Thành,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2024,ln_Total_Assets,Small
DVP,ĐT và PT Cảng Đình Vũ,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2020,ln_Revenue,Medium
DVP,ĐT và PT Cảng Đình Vũ,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2021,ln_Revenue,Medium
DVP,ĐT và PT Cảng Đình Vũ,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2022,ln_Revenue,Small
DVP,ĐT và PT Cảng Đình Vũ,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2023,ln_Revenue,Small
DVP,ĐT và PT Cảng Đình Vũ,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2024,ln_Revenue,Small
DXV,Vật liệu Xây dựng Đà Nẵng,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2020,ln_Revenue,Small
DXV,Vật liệu Xây dựng Đà Nẵng,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2021,ln_Revenue,Small
DXV,Vật liệu Xây dựng Đà Nẵng,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2022,ln_Revenue,Small
DXV,Vật liệu Xây dựng Đà Nẵng,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2023,ln_Revenue,Small
DXV,Vật liệu Xây dựng Đà Nẵng,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2024,ln_Revenue,Small
ELC,ELCOM,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông,2020,ln_Total_Assets,Small
ELC,ELCOM,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông,2021,ln_Total_Assets,Small
ELC,ELCOM,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông,2022,ln_Total_Assets,Small
ELC,ELCOM,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông,2023,ln_Total_Assets,Medium
ELC,ELCOM,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông,2024,ln_Total_Assets,Medium
EVE,Everpia,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2020,ln_Total_Assets,Small
EVE,Everpia,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2021,ln_Total_Assets,Small
EVE,Everpia,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2022,ln_Total_Assets,Small
EVE,Everpia,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2023,ln_Total_Assets,Small
EVE,Everpia,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2024,ln_Total_Assets,Small
EVG,Tập đoàn Everland,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2020,ln_Revenue,Medium
EVG,Tập đoàn Everland,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2021,ln_Revenue,Medium
EVG,Tập đoàn Everland,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2022,ln_Revenue,Medium
EVG,Tập đoàn Everland,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2023,ln_Revenue,Medium
EVG,Tập đoàn Everland,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2024,ln_Revenue,Medium
FCM,Khoáng sản FECON,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2020,ln_Revenue,Medium
FCM,Khoáng sản FECON,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2021,ln_Revenue,Small
FCM,Khoáng sản FECON,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2022,ln_Revenue,Small
FCM,Khoáng sản FECON,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2023,ln_Revenue,Small
FCM,Khoáng sản FECON,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2024,ln_Revenue,Small
FCN,FECON CORP,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2020,ln_Revenue,Large
FCN,FECON CORP,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2021,ln_Revenue,Large
FCN,FECON CORP,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2022,ln_Revenue,Large
FCN,FECON CORP,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2023,ln_Revenue,Large
FCN,FECON CORP,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2024,ln_Revenue,Large
FIT,Tập đoàn F.I.T,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2023,ln_Total_Assets,Large
FIT,Tập đoàn F.I.T,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,2024,ln_Total_Assets,Large
FMC,Thực phẩm Sao Ta,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,ln_Total_Assets,Medium
FMC,Thực phẩm Sao Ta,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,ln_Total_Assets,Medium
FMC,Thực phẩm Sao Ta,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,ln_Total_Assets,Medium
FMC,Thực phẩm Sao Ta,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,ln_Total_Assets,Medium
FMC,Thực phẩm Sao Ta,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,ln_Total_Assets,Medium
FPT,FPT Corp,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm,2020,ln_Total_Assets,Large
FPT,FPT Corp,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm,2021,ln_Total_Assets,Large
FPT,FPT Corp,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm,2022,ln_Total_Assets,Large
FPT,FPT Corp,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm,2023,ln_Total_Assets,Large
FPT,FPT Corp,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm,2024,ln_Total_Assets,Large
FRT,Bán lẻ FPT,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2020,ln_Total_Assets,Large
FRT,Bán lẻ FPT,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2021,ln_Total_Assets,Large
FRT,Bán lẻ FPT,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2022,ln_Total_Assets,Large
FRT,Bán lẻ FPT,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2023,ln_Total_Assets,Large
FRT,Bán lẻ FPT,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2024,ln_Total_Assets,Large
GAS,PV Gas,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2020,ln_Total_Assets,Large
GAS,PV Gas,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2021,ln_Total_Assets,Large
GAS,PV Gas,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2022,ln_Total_Assets,Large
GAS,PV Gas,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2023,ln_Total_Assets,Large
GAS,PV Gas,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2024,ln_Total_Assets,Large
GDT,Gỗ Đức Thành,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2020,ln_Total_Assets,Small
GDT,Gỗ Đức Thành,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2021,ln_Total_Assets,Small
GDT,Gỗ Đức Thành,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2022,ln_Total_Assets,Small
GDT,Gỗ Đức Thành,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2023,ln_Total_Assets,Small
GDT,Gỗ Đức Thành,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,2024,ln_Total_Assets,Small
GEE,Thiết bị điện GELEX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện,2023,ln_Revenue,Large
GEE,Thiết bị điện GELEX,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện,2024,ln_Revenue,Large
GEG,Điện Gia Lai,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2020,ln_Total_Assets,Large
GEG,Điện Gia Lai,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2021,ln_Total_Assets,Large
GEG,Điện Gia Lai,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2022,ln_Total_Assets,Large
GEG,Điện Gia Lai,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2023,ln_Total_Assets,Large
GEG,Điện Gia Lai,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,2024,ln_Total_Assets,Large
GEX,Tập đoàn Gelex,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện,2020,ln_Revenue,Large
GEX,Tập đoàn Gelex,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện,2021,ln_Revenue,Large
GEX,Tập đoàn Gelex,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện,2022,ln_Revenue,Large
GEX,Tập đoàn Gelex,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện,2023,ln_Revenue,Large
GEX,Tập đoàn Gelex,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện,2024,ln_Revenue,Large
