Mã,Tên công ty,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Selected_Size_Indicator,Size_Label
ACC,Đầu tư và XD Bình Dương ACC,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2024,ln_Revenue,Medium
ACG,Gỗ An Cường,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2020,ln_Total_Assets,Large
ACG,Gỗ An Cường,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2021,ln_Total_Assets,Large
ACG,Gỗ An Cường,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2022,ln_Total_Assets,Large
ACG,Gỗ An Cường,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2023,ln_Total_Assets,Large
ACG,Gỗ An Cường,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2024,ln_Total_Assets,Large
ACL,Thủy sản CL An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,ln_Total_Assets,Medium
ACL,Thủy sản CL An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,ln_Total_Assets,Medium
ACL,Thủy sản CL An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,ln_Total_Assets,Small
ACL,Thủy sản CL An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,ln_Total_Assets,Medium
ACL,Thủy sản CL An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,ln_Total_Assets,Medium
ADG,Clever Group,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông,2020,ln_Total_Assets,Small
ADG,Clever Group,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông,2021,ln_Total_Assets,Small
ADG,Clever Group,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông,2022,ln_Total_Assets,Small
ADG,Clever Group,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông,2023,ln_Total_Assets,Small
ADG,Clever Group,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông,2024,ln_Total_Assets,Small
ADP,Sơn Á Đông,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2020,ln_Revenue,Medium
ADP,Sơn Á Đông,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2021,ln_Revenue,Small
ADP,Sơn Á Đông,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2022,ln_Revenue,Small
ADP,Sơn Á Đông,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2023,ln_Revenue,Small
ADP,Sơn Á Đông,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2024,ln_Revenue,Medium
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2020,ln_Total_Assets,Medium
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2021,ln_Total_Assets,Medium
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2022,ln_Total_Assets,Medium
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2023,ln_Total_Assets,Medium
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2024,ln_Total_Assets,Medium
AGM,XNK An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2020,ln_Total_Assets,Small
AGM,XNK An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2021,ln_Total_Assets,Medium
AGM,XNK An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2022,ln_Total_Assets,Medium
AGM,XNK An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2023,ln_Total_Assets,Small
AGM,XNK An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2024,ln_Total_Assets,Small
ANV,Thủy sản Nam Việt,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,ln_Total_Assets,Large
