model,k,silhouette,davies_bouldin
kmeans,3,0.9566635663753352,0.026614493911614356
gmm,3,0.41833559837778467,1.418164975818085
agglomerative,3,0.9279724622745755,0.42859589854188834
kmeans,4,0.7802114027740137,0.48566965294968145
gmm,4,0.4835552159612037,0.7232312114308029
agglomerative,4,0.7311605974964968,0.5548757109772099
