Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Current_Ratio,Quick_Ratio,Cash_Ratio,Debt_Equity,Net_Leverage,Asset_Turnover,Fixed_Asset_Turnover,Inventory_Turnover,Receivables_Turnover,ln_Total_Assets,ln_Revenue,ROA,ROE,ROS
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2020,4.620709250887136,4.551672029076652,2.244521959570698,0.19456267307418673,-1.868234954352319,0.3478871582664669,12.597747908339464,,4.715184089458163,5.647010700947205,4.597725127601637,0.0875526917782429,0.10458717752545821,0.25166980067479594
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2021,4.483971578292553,4.469091593238128,0.9340445475371661,0.221882224903775,0.29857688416563993,0.29167902307931587,6.196720895753018,2.8397231445350712,2.1804867599608566,5.747846913506886,4.523461559083859,0.06183622620328342,0.07555658565292105,0.21200093702476636
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2022,2.377356972994671,2.360764995221748,0.2596165308264022,0.30519023985263694,2.1245579277168054,0.2799124942413596,9.543921802508377,-0.30867774594052466,1.8645350518867443,5.922068144017568,4.65565977397566,0.0789685966439105,0.10306904159449168,0.28211887024885135
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2023,3.441076630426029,3.41033239276465,0.06650771883353278,0.21491608458172937,2.2315305490982005,0.13975169597395337,738.7985971950094,,1.3540846107040798,5.953455066084012,4.001425671327751,0.08066622101907184,0.09800268939849516,0.5772110345917107
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2024,2.3788719634454485,2.3745521833777716,0.0891918027190329,0.20379915982352947,4.886708717491943,0.07542686389400963,749.4539687100556,,0.8609939381187138,5.872214459385828,3.3215659215730713,0.050727230361537666,0.06106539728939368,0.6725353241892694
ABS,DV Nông nghiệp Bình Thuận,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2020,1.1769431709029081,1.1688533107513108,0.0034789348005074138,1.688106361663735,26.591954262200463,0.943481256312826,72.32145714533063,,1.289696035557235,7.065695148284855,7.007567518976166,0.04094508205855908,0.1100647355604563,0.04339787545814593
ABS,DV Nông nghiệp Bình Thuận,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2021,1.9246419558461731,1.8929757341961129,0.004718261681165415,0.7194998479939002,43.21418738536298,0.7524723021359713,92.13410105083302,-2.398443741639304,1.306187347069405,7.373971587918962,7.089786851285487,0.041025690639544234,0.07054366881854109,0.05452119702358283
ABS,DV Nông nghiệp Bình Thuận,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2022,1.7798115330492843,1.7722495082116676,0.004670092910085992,0.843121289861036,-23.570546491060842,0.9616990401971969,108.41205099493035,-5.683179636844432,1.5934931085869088,7.420741237474358,7.381711356139694,0.01350271446053105,0.024887140493119252,0.014040478253739665
ABS,DV Nông nghiệp Bình Thuận,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2023,1.6884682827829227,1.6821624415572052,0.002676610392634396,0.7278653003659532,-8.220938149112756,0.6492015235915372,74.09111387504659,-19.948161374851136,0.9189141237626748,7.365310082448462,6.933639879128598,0.0052475820828951705,0.009067114991856659,0.008083132728746998
ABS,DV Nông nghiệp Bình Thuận,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2024,11.174393770829692,11.145453646329154,0.0013996982393255787,0.09319122306607242,-2.085504533731541,0.3953760056793923,40.340905204272445,-18.447502720381145,0.41961392123452945,6.910685473802093,5.984291022328203,0.0025544595593236497,0.002792512769929841,0.006460836071562328
